gauge_id,water_frac,trees_frac,flooded_veg_frac,crops_frac,built_area_frac,bare_frac,range_frac,dom_land_cover,dom_land_cover_frac,lai_mean,lai_min,lai_max,lai_diff
03001,0.011179,0.537567,0.000037,0.137423,0.006791,0.000724,0.306280,trees,0.537567,1.557,0.512,7.288,6.775
03002,0.005099,0.355923,0.000005,0.438064,0.047201,0.000264,0.153445,crops,0.438064,1.185,0.519,7.231,6.712
03003,0.026252,0.327017,0.001591,0.392211,0.034952,0.000616,0.217360,crops,0.392211,1.201,0.559,2.662,2.103
03004,0.016128,0.000015,0.000000,0.948382,0.030363,0.000100,0.005012,crops,0.948382,0.731,0.424,0.987,0.563
03005,0.023310,0.286059,0.000715,0.427600,0.032435,0.001793,0.228086,crops,0.427600,1.152,0.258,7.773,7.515
03006,0.006191,0.040596,0.000000,0.878143,0.045327,0.000003,0.029740,crops,0.878143,0.864,0.500,7.127,6.627
03007,0.016807,0.261668,0.000017,0.527142,0.028831,0.000560,0.164974,crops,0.527142,1.108,0.261,7.773,7.512
03008,0.020588,0.034625,0.000366,0.675821,0.024607,0.000618,0.243375,crops,0.675821,0.831,0.202,7.525,7.323
03009,0.035274,0.001902,0.000000,0.687051,0.027688,0.000053,0.248031,crops,0.687051,0.616,0.364,0.909,0.545
03010,0.022007,0.176424,0.000311,0.556167,0.032588,0.001475,0.211030,crops,0.556167,0.985,0.151,9.039,8.888
03011,0.029203,0.019258,0.000681,0.525350,0.023572,0.000000,0.401935,crops,0.525350,0.771,0.345,1.575,1.230
03012,0.020169,0.322950,0.000345,0.385969,0.032644,0.001756,0.236167,crops,0.385969,1.183,0.261,7.773,7.512
03013,0.015842,0.163085,0.001441,0.256321,0.015124,0.001397,0.546790,rangeland,0.546790,1.106,0.311,7.498,7.188
03014,0.026002,0.045021,0.000487,0.677083,0.020766,0.000008,0.230633,crops,0.677083,0.855,0.378,7.525,7.147
03015,0.000124,0.356047,0.000000,0.383583,0.009737,0.000039,0.250470,crops,0.383583,1.206,0.582,1.786,1.204
03016,0.023701,0.150380,0.000563,0.582967,0.027319,0.000511,0.214560,crops,0.582967,1.012,0.423,7.610,7.187
03017,0.002625,0.331766,0.000000,0.336497,0.009363,0.000016,0.319733,crops,0.336497,1.216,0.722,1.949,1.227
03018,0.013459,0.324985,0.000047,0.383356,0.033599,0.000279,0.244276,crops,0.383356,1.188,0.222,7.231,7.009
03019,0.019692,0.000793,0.000019,0.605158,0.027601,0.000026,0.346711,crops,0.605158,0.645,0.388,0.934,0.546
03020,0.030900,0.005236,0.000070,0.776847,0.052175,0.000037,0.134736,crops,0.776847,0.679,0.176,7.672,7.495
03021,0.114981,0.037558,0.002268,0.478802,0.063731,0.000075,0.302584,crops,0.478802,0.723,0.315,7.672,7.356
03022,0.022073,0.198468,0.000296,0.519990,0.030891,0.001602,0.226681,crops,0.519990,1.035,0.124,9.039,8.914
03023,0.021997,0.176218,0.000310,0.556597,0.032577,0.001444,0.210857,crops,0.556597,0.985,0.151,9.039,8.888
03024,0.025205,0.102774,0.000313,0.576021,0.037635,0.000526,0.257526,crops,0.576021,0.906,0.556,7.169,6.613
03025,0.029276,0.004828,0.000064,0.782417,0.050515,0.000064,0.132837,crops,0.782417,0.678,0.176,7.672,7.495
03026,0.088633,0.015371,0.000000,0.609650,0.042479,0.000118,0.243750,crops,0.609650,0.709,0.251,6.915,6.664
03027,0.053103,0.057209,0.000094,0.658721,0.045857,0.000294,0.184724,crops,0.658721,0.863,0.387,2.443,2.056
03028,0.023646,0.027963,0.000544,0.727965,0.026931,0.000627,0.192324,crops,0.727965,0.829,0.202,7.525,7.323
03029,0.029443,0.004862,0.000065,0.781128,0.050651,0.000064,0.133787,crops,0.781128,0.678,0.176,7.672,7.495
03030,0.029047,0.024316,0.000772,0.739474,0.022710,0.000045,0.183637,crops,0.739474,0.800,0.320,7.525,7.205
03031,0.021222,0.230734,0.000061,0.457503,0.038082,0.000176,0.252222,crops,0.457503,1.058,0.222,2.419,2.197
03032,0.034760,0.007049,0.000088,0.752673,0.061671,0.000049,0.143711,crops,0.752673,0.681,0.176,7.672,7.495
03033,0.043327,0.288243,0.000037,0.143204,0.010580,0.000039,0.514569,rangeland,0.514569,1.327,0.164,3.257,3.094
03034,0.030634,0.118016,0.001356,0.552874,0.113740,0.000010,0.183370,crops,0.552874,0.893,0.374,1.782,1.408
03035,0.039469,0.284751,0.000149,0.357159,0.032039,0.000374,0.286060,crops,0.357159,1.048,0.124,2.585,2.460
03036,0.024372,0.102000,0.000364,0.642065,0.036369,0.001092,0.193737,crops,0.642065,0.872,0.176,9.039,8.862
03037,0.017573,0.023906,0.000181,0.642876,0.021352,0.000048,0.294065,crops,0.642876,0.804,0.307,7.518,7.211
03038,0.015700,0.000045,0.000000,0.937220,0.030804,0.000084,0.016146,crops,0.937220,0.729,0.411,1.012,0.601
03039,0.027987,0.022941,0.000722,0.741766,0.022315,0.000045,0.184224,crops,0.741766,0.800,0.320,7.525,7.205
03040,0.020918,0.052795,0.000000,0.759897,0.031830,0.000002,0.134557,crops,0.759897,0.856,0.342,7.127,6.785
03041,0.002454,0.282770,0.000066,0.001344,0.000901,0.000000,0.712466,rangeland,0.712466,1.482,0.980,2.575,1.595
03042,0.004822,0.321352,0.000000,0.527928,0.050106,0.000100,0.095692,crops,0.527928,1.103,0.611,1.929,1.318
03043,0.021964,0.194052,0.000297,0.523914,0.030944,0.001511,0.227319,crops,0.523914,1.026,0.124,9.039,8.914
03044,0.026453,0.029419,0.000000,0.734478,0.041333,0.000101,0.168215,crops,0.734478,0.857,0.516,7.312,6.797
