gauge_id,ghi_stn_id,cwc_site_name,river_basin,cwc_river,ghi_group,flow_availability
3001,goda_allam,Allamvari Ghanpur,Godavari,Jampanavagu,G2,2.58
3002,goda_ambab,Ambabal,Godavari,Godavari/Indravati/Narangi,G1,54.93
3003,goda_ambga,Ambgaon (Bagdi),Godavari,Godavari/Pranhita/Wainganga/Chulband,G2,0.00
3004,goda_asega,Asegaon,Godavari,Godavari/Pranhita/Wardha/Penganga,G2,0.00
3005,goda_ashti,Ashti,Godavari,Godavari/Pranhita/Wainganga,G1,95.16
3006,goda_bakha,Bakhari,Godavari,Godavari/Pranhita/Wainganga,G2,0.00
3007,goda_balag,Balaghat,Godavari,Godavari/Pranhita/Wainganga,G2,0.00
3008,goda_bamni,Bamni,Godavari,Godavari/Pranhita/Wardha,G1,94.88
3009,goda_betmo,Betmogrra,Godavari,Godavari/Manjira/Manar,G1,47.37
3010,goda_bhadr,Bhadrachalam,Godavari,Godavari,G2,20.97
3011,goda_bhain,Bhainsa,Godavari,Godavari/Suddha Vagu,G2,0.00
3012,goda_bhand,Bhandara,Godavari,Godavari/Pranhita/Wainganga,G2,0.01
3013,goda_bhatp,Bhatpalli,Godavari,Godavari/Pranhita/Peddavagu,G1,78.54
3014,goda_bhisn,Bhisnur,Godavari,Godavari/Pranhita/Wardha,G2,42.48
3015,goda_bichu,Bichubagu,Godavari,Godavari/Pranhita/Sobhana,G2,0.00
3016,goda_binax,Bina,Godavari,Godavari/Pranhita/Wainganga/Kanhan,G2,0.00
3017,goda_cherr,Cherribeda,Godavari,Godavari/Indravati/Bardha,G1,49.01
3018,goda_chind,Chindnar,Godavari,Godavari/Indravati,G1,90.07
3019,goda_deglo,Degloor,Godavari,Godavari/Manjira/Lendi,G1,72.87
3020,goda_dhale,Dhalegaon,Godavari,Godavari,G1,87.45
3021,goda_dharn,Dharna Dam,Godavari,Godavari/Dharna,G2,0.00
3022,goda_dowla,Dowlaiswaram,Godavari,Godavari,G2,0.00
3023,goda_dumma,Dummagudem,Godavari,Godavari,G2,0.00
3024,goda_gandl,Gandlapet,Godavari,Godavari/Peddavagu,G2,73.18
3025,goda_gang1,Gangakhed W/L Station,Godavari,Godavari,G2,0.00
3026,goda_gang2,Gangapur Dam,Godavari,Godavari,G2,0.00
3027,goda_garmi,Garmilapali,Godavari,Morenchavagu,G2,2.06
3028,goda_ghugu,Ghugus,Godavari,Godavari/Pranhita/Wardha,G1,63.05
3029,goda_grbri,G.R.Bridge,Godavari,Godavari,G1,89.41
3030,goda_hivra,Hivra,Godavari,Godavari/Pranhita/Wardha,G1,73.06
3031,goda_jagda,Jagdalpur,Godavari,Godavari/Indravati,G1,89.81
3032,goda_jaikw,Jaikwadi Dam,Godavari,Godavari,G2,0.00
3033,goda_jalap,Jalaput Dam,Godavari,Sabari,G2,0.00
3034,goda_janep,Janepally,Godavari,Manjeera,G2,0.00
3035,goda_jeera,Jeeraguda,Godavari,Kolab,G2,0.00
3036,goda_kales,Kaleswaram,Godavari,Godavari,G2,0.05
